mutant|shape|result
pinmux_od_m1|bmc|CAUGHT-witness
eth_tx_runt|bmc|CAUGHT-witness
eth_tx_jabber|bmc|CAUGHT-witness
eth_tx_len_unlatch|bmc|CAUGHT-witness
eth_tx_ifg90|induct|CAUGHT-no-closure
eth_tx_skip_gap|induct|CAUGHT-no-closure
pe_ctrl_slot_load_zero|induct|CAUGHT-no-closure
pe_ctrl_r_req_bypass|induct|CAUGHT-witness
pe_ctrl_len_overflow|induct|CAUGHT-no-closure
pe_ctrl_bit14|induct|CAUGHT-no-closure
pe_ctrl_clear_uncond|induct|CAUGHT-no-closure
pe_soc_owner_clear_guard_removed|induct|CAUGHT-no-closure
pe_ctrl_bp_hit_no_hold|induct|CAUGHT-no-closure
pe_soc_owner_set_guard_removed|induct|CAUGHT-no-closure
